repeat 1 : ['整租·龙湖春江天玺阁 4室2厅 南', '龙华区-龙华中心-龙湖春江天玺阁', '120.00', '4', 9600, 9600]
repeat 1 : ['整租·中翠花园 2室2厅 西南', '龙岗区-布吉大芬-中翠花园', '71.62', '2', 4200, 4200]
repeat 1 : ['整租·深华公寓 2室1厅 东', '福田区-梅林-深华公寓', '50.27', '2', 4000, 4000]
repeat 1 : ['整租·鹏都大厦 4室2厅 西南', '南山区-南山中心-鹏都大厦', '120.00', '4', 10500, 10500]
repeat 1 : ['合租·阳光里雅居 4居室 南卧', '南山区-南山中心-阳光里雅居', '15.00', '4', 2600, 2600]
repeat 1 : ['整租·向南西海花园 3室1厅 南', '南山区-南山中心-向南西海花园', '72.00', '3', 7500, 7500]
repeat 1 : ['整租·31区水口花园 4室2厅 东', '宝安区-新安-31区水口花园', '100.00', '4', 5000, 5000]
repeat 1 : ['整租·大地花园 1室1厅 南', '罗湖区-布心-大地花园', '52.96', '1', 3900, 3900]
repeat 1 : ['整租·盛世名门 3室2厅 东', '盐田区-沙头角-盛世名门', '83.00', '3', 6500, 6500]
repeat 1 : ['整租·皇御苑二期 2室1厅 南', '福田区-皇岗-皇御苑二期', '64.00', '2', 7500, 7500]
repeat 2 : ['整租·金地海景翠堤湾 3室2厅 东南', '福田区-沙尾-金地海景翠堤湾', '125.00', '3', 10000, 10000]
repeat 1 : ['整租·前海东岸 1室1厅 南', '南山区-南头-前海东岸', '50.00', '1', 8450, 8450]
repeat 1 : ['整租·凯德公园1号 3室2厅 东南/南', '南山区-南山中心-凯德公园1号', '136.00', '3', 15000, 15000]
repeat 1 : ['整租·翠都花园 3室1厅 南', '罗湖区-翠竹-翠都花园', '87.00', '3', 4800, 4800]
repeat 323 : ['整租·山海韵 4室2厅 南', '南山区-蛇口-山海韵', '141.00', '4', 14000, 14000]
repeat 1 : ['整租·深业中城 1室0厅 南', '福田区-香蜜湖-深业中城', '50.00', '1', 10000, 10000]
repeat 1 : ['合租·长景阁 3居室 东南卧', '福田区-景田-长景阁', '20.00', '3', 1900, 1900]
repeat 1 : ['整租·金众蓝钻风景 4室2厅 东南', '龙岗区-龙岗宝荷-金众蓝钻风景', '145.00', '4', 4500, 4500]
repeat 3 : ['整租·中洲湾-中洲滨海商业中心 1室0厅 西', '福田区-上下沙-中洲湾-中洲滨海商业中心', '36.00', '1', 5600, 5600]
repeat 1 : ['整租·长城花园 2室1厅 南/北', '福田区-百花-长城花园', '85.30', '2', 7500, 7500]
repeat 1 : ['整租·中洲湾-中洲滨海商业中心 1室0厅 南', '福田区-上下沙-中洲湾-中洲滨海商业中心', '35.00', '1', 5000, 5000]
repeat 1 : ['整租·万科蛇口公馆 1室0厅 东南', '龙岗区-大运新城-又一城', '12.00', '3', 5800, 5800]
repeat 1 : ['整租·中房怡芬花园 2室2厅 南', '龙岗区-布吉大芬-中房怡芬花园', '77.00', '2', 3000, 3000]
repeat 1 : ['整租·瑧湾汇 3室2厅 东', '南山区-红树湾-瑧湾汇', '74.03', '3', 20000, 20000]
repeat 1 : ['整租·观山大卫华庭 4室2厅 南', '龙岗区-布吉石芽岭-观山大卫华庭', '88.00', '4', 5500, 5500]
repeat 1 : ['整租·丽湖花园二期 3室1厅 西南', '龙岗区-布吉水径-丽湖花园二期', '64.00', '3', 3200, 3200]
repeat 1 : ['整租·华润城润府二期 3室2厅 东南', '南山区-科技园-华润城润府二期', '150.00', '3', 27000, 27000]
repeat 1 : ['整租·时代华庭 3室1厅 西北', '福田区-景田-时代华庭', '98.00', '3', 9800, 9800]
repeat 1 : ['整租·海景花园 3室2厅 西南', '南山区-华侨城-海景花园', '113.00', '3', 11000, 11000]
repeat 1 : ['整租·旭飞花园 1室1厅 东南', '福田区-八卦岭-旭飞花园', '22.00', '1', 2300, 2300]
repeat 1 : ['整租·德福花园 3室2厅 西', '龙岗区-布吉街-德福花园', '72.00', '3', 4000, 4000]
repeat 1 : ['整租·宝树台 1室1厅 东', '福田区-华强北-宝树台', '43.00', '1', 6800, 6800]
repeat 1 : ['整租·首地容御 4室2厅 南', '南山区-华侨城-首地容御', '150.00', '4', 18000, 18000]
repeat 1 : ['整租·福苑 3室2厅 东南', '盐田区-沙头角-福苑', '91.00', '3', 5500, 5500]
repeat 1 : ['整租·鸿翔花园 1室1厅 东南', '罗湖区-地王-鸿翔花园', '35.00', '1', 3800, 3800]
repeat 1 : ['整租·华润公园九里花园 4室2厅 东南', '光明区-公明-华润公园九里花园', '125.00', '4', 5500, 5500]
repeat 1 : ['整租·百合星城二期 3室2厅 东南', '龙岗区-布吉关-百合星城二期', '89.00', '3', 6700, 6700]
repeat 1 : ['整租·前海铂寓 4室2厅 南', '宝安区-碧海-前海铂寓', '450.00', '4', 35000, 35000]
repeat 1 : ['整租·星光之约 3室2厅 东南', '龙岗区-坂田-星光之约', '105.00', '3', 5800, 5800]
repeat 1 : ['整租·鹏基公寓 1室1厅 北', '罗湖区-莲塘-鹏基公寓', '30.00', '1', 1900, 1900]
repeat 1 : ['整租·雅颂居 3室2厅 北', '福田区-福田中心-雅颂居', '129.00', '3', 17000, 17000]
