repeat 1 : ['独栋·泊寓 立基公馆店 实惠精致户（独立厨房 开间', nan, '34.29-40.71', '1', 1819, 1879]
repeat 1 : ['整租·荣城北苑 2室2厅 南', '庐阳-林店-荣城北苑', '90.00', '2', 1500, 1500]
repeat 1 : ['整租·凤阳五村 3室2厅 南/北', '瑶海-三里街-凤阳五村', '110.41', '3', 2200, 2200]
repeat 1 : ['整租·舒城路13号 2室1厅 南', '庐阳-逍遥津-舒城路13号', '62.42', '2', 2300, 2300]
repeat 2 : ['整租·禹洲中央广场D区 3室2厅 南/北', '肥东-肥东-禹洲中央广场D区', '89.00', '3', 1500, 1500]
repeat 1 : ['独栋·合肥壹间公寓 城市主场店 精选阳光单间 1室1厅', nan, '48.09', '1', 1635, 1635]
repeat 1 : ['整租·龙湖瑶海天街 2室1厅 复式 南', '瑶海-龙岗-龙湖瑶海天街', '35.00', '2', 1500, 1500]
repeat 1 : ['独栋·合肥壹间公寓 城市主场店 精选温馨一居 1室1厅', nan, '48.09', '1', 1572, 1572]
repeat 1 : ['整租·祥源花世界 3室1厅 南', '肥西-肥西-祥源花世界', '93.51', '3', 1600, 1600]
repeat 1 : ['整租·祥源花世界 3室2厅 南', '肥西-肥西-祥源花世界', '130.00', '3', 1500, 1500]
repeat 1 : ['整租·滨湖新地城 2室1厅 南', '滨湖新区-滨湖世纪-滨湖新地城', '70.00', '2', 2000, 2000]
repeat 2 : ['整租·万科公园大道 3室1厅 南', '长丰-北城-万科公园大道', '89.94', '3', 1500, 1500]
repeat 1 : ['整租·东煌公寓 3室1厅 东南/北', '庐阳-杏林-东煌公寓', '140.33', '3', 2800, 2800]
repeat 1 : ['整租·天骄国际 3室1厅 南', '瑶海-胜利路-天骄国际', '97.00', '3', 2200, 2200]
repeat 118 : ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
repeat 1 : ['整租·安粮中心 3室2厅 南/北', '包河-工业园-安粮中心', '125.20', '3', 2800, 2800]
repeat 1 : ['整租·阜阳北路77号 3室1厅 南', '庐阳-双岗-阜阳北路77号', '78.00', '3', 23000, 23000]
repeat 1 : ['整租·上园 3室1厅 南/北', '肥西-肥西-上园', '85.00', '3', 1500, 1500]
repeat 1 : ['整租·滨湖世纪城振徽苑 4室2厅 南', '滨湖新区-滨湖世纪-滨湖世纪城振徽苑', '146.39', '4', 3000, 3000]
repeat 1 : ['整租·招商雍华府 2室1厅 北', '滨湖新区-方兴-招商雍华府', '48.80', '2', 1600, 1600]
repeat 1 : ['整租·万达揽湖苑 2室1厅 南', '滨湖新区-环湖CBD-万达揽湖苑', '76.99', '2', 2000, 2000]
repeat 1 : ['整租·新港家园 1室1厅 南', '肥西-肥西-新港家园', '60.00', '1', 1200, 1200]
repeat 1 : ['整租·滨湖新地城 2室1厅 南', '滨湖新区-滨湖世纪-滨湖新地城', '82.00', '2', 2061, 2061]
repeat 1 : ['整租·阜阳北路生活小区 2室1厅 南', '庐阳-杏林-阜阳北路生活小区', '63.23', '2', 1200, 1200]
repeat 1 : ['整租·远洋万和云锦 3室1厅 南/北', '肥东-肥东-远洋万和云锦', '121.00', '3', 600, 600]
repeat 150 : ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
repeat 1 : ['整租·灯塔家园二期 2室2厅 南', '肥西-肥西-灯塔家园二期', '94.00', '2', 1400, 1400]
repeat 1 : ['整租·西湖国际广场 2室0厅 南', '蜀山-稻香村-西湖国际广场', '132.00', '2', 4400, 4400]
repeat 1 : ['整租·力高共和城 2室1厅 南', '长丰-北城-力高共和城', '79.00', '2', 800, 800]
repeat 1 : ['整租·安庆路282号 2室1厅 南', '庐阳-三孝口-安庆路282号', '75.75', '2', 2800, 2800]
repeat 1 : ['整租·金大地禧悦公馆 3室2厅 南', '长丰-北城-金大地禧悦公馆', '110.76', '3', 850, 850]
repeat 1 : ['整租·方兴桃园 3室2厅 南/北', '肥西-锦绣-方兴桃园', '105.00', '3', 2200, 2200]
repeat 1 : ['整租·磨店拓基广场 2室1厅 东', '新站-磨店-磨店拓基广场', '36.43', '2', 1300, 1300]
