repeat 1 : ['独栋·迹寓 黄花岗A店 非中介 押一 民水民电 近地铁 免管理费 开间', nan, '39', '1', 2822, 4170]
repeat 1 : ['整租·金碧花园第一金碧 3室1厅 南', '海珠-金碧-金碧花园第一金碧', '108', '3', 5500, 5500]
repeat 1 : ['整租·南沙湾御苑 4室2厅 东南/南', '南沙-南沙港-南沙湾御苑', '141', '4', 3000, 3000]
repeat 2 : ['整租·时代长岛 3室2厅 南', '南沙-进港大道-时代长岛', '83', '3', 2000, 2000]
repeat 1 : ['整租·骏辉雅苑 3室2厅 北', '花都-花城街-骏辉雅苑', '132.01', '3', 2500, 2500]
repeat 1 : ['整租·绿地国际空港中心 2室2厅 南', '花都-镜湖大道-绿地国际空港中心', '58', '2', 3300, 3300]
repeat 1 : ['整租·芳村花园 3室2厅 东南', '荔湾-坑口-芳村花园', '109', '3', 4500, 4500]
repeat 1 : ['整租·飞鹅西路 2室1厅 南', '白云-桂花岗-飞鹅西路', '70', '2', 2800, 2800]
repeat 1 : ['整租·供水局宿舍 2室2厅 东南', '天河-棠下-供水局宿舍', '72', '2', 3650, 3650]
repeat 1 : ['整租·时代春树里 3室2厅 南/北', '黄埔-香雪-时代春树里', '93', '3', 4300, 4300]
repeat 1 : ['整租·IPC港航中心 3室2厅 南', '黄埔-鱼珠-IPC港航中心', '110', '3', 11000, 11000]
repeat 1 : ['独栋·唯家公寓· 南村员岗3店 小单间 开间', '黄埔-鱼珠-IPC港航中心', '110', '3', 1150, 1150]
repeat 1 : ['整租·景泰新村 2室1厅 东南', '白云-景泰-景泰新村', '70', '2', 3500, 3500]
repeat 1 : ['整租·恒丰花园 3室1厅 东南', '白云-同德围-恒丰花园', '110', '3', 4000, 4000]
repeat 1 : ['整租·顺德碧桂园东苑 2室1厅 南/西南', '番禺-顺德碧桂园-顺德碧桂园东苑', '73', '2', 3000, 3000]
repeat 1 : ['整租·萝岗和苑 3室2厅 南', '黄埔-科学城-萝岗和苑', '96', '3', 3600, 3600]
repeat 1 : ['整租·南沙城 1室1厅 北', '南沙-金洲-南沙城', '47', '1', 1500, 1500]
repeat 1 : ['整租·锦林山庄 3室2厅 南', '黄埔-科学城-锦林山庄', '92', '3', 5000, 5000]
repeat 1 : ['整租·凤湖花园 2室1厅 北', '黄埔-知识城-凤湖花园', '60', '2', 2000, 2000]
repeat 1 : ['整租·保利林语山庄 2室1厅 东', '黄埔-科学城-保利林语山庄', '85', '2', 4000, 4000]
repeat 1 : ['整租·信达金茂广场 1室1厅 南', '天河-沙太南-信达金茂广场', '46', '1', 5000, 5000]
repeat 1 : ['整租·中国铁建环球中心 1室1厅 南', '南沙-南沙区府-中国铁建环球中心', '66', '1', 1200, 1200]
repeat 1 : ['整租·朝天路 3室1厅 东南', '越秀-西门口-朝天路', '97.5', '3', 4600, 4600]
repeat 1 : ['整租·锦绣御景苑一二期 4室2厅 南', '增城-荔城西区-锦绣御景苑一二期', '168.76', '4', 2500, 2500]
repeat 1 : ['整租·方舟公馆 1室1厅 南', '荔湾-东塱-方舟公馆', '28', '1', 1200, 1200]
repeat 1 : ['整租·科慧花园 2室2厅 南', '增城-朱村-科慧花园', '69', '2', 2400, 2400]
repeat 1 : ['整租·远洋招商保利东湾 4室2厅 南', '增城-朱村-远洋招商保利东湾', '110', '4', 3000, 3000]
repeat 1 : ['整租·白云高尔夫花园东区 3室2厅 南', '白云-黄石-白云高尔夫花园东区', '126', '3', 5000, 5000]
repeat 1 : ['整租·远洋天骄 3室2厅 南', '天河-天河客运站-远洋天骄', '109', '3', 8100, 8100]
repeat 378 : ['整租·金影花园 2室2厅 北', '海珠-客村-金影花园', '68', '2', 3800, 3800]
repeat 186 : ['整租·隆德大厦 3室2厅 东南/南', '天河-体育中心-隆德大厦', '103', '3', 11000, 11000]
repeat 323 : ['整租·科技馆大院 3室1厅 西', '越秀-麓景-科技馆大院', '100', '3', 3800, 3800]
repeat 34 : ['整租·淘金大厦 1室0厅 北', '越秀-淘金-淘金大厦', '30', '1', 1800, 1800]
repeat 1 : ['整租·佳兆业城市广场 3室1厅 南', '黄埔-沙村-佳兆业城市广场', '71', '3', 5200, 5200]
repeat 4 : ['整租·保利中航城二期 6室2厅 东南', '增城-朱村-保利中航城二期', '105.9', '6', 3000, 3000]
repeat 1 : ['整租·金麓山庄 1室1厅 西', '越秀-麓景-金麓山庄', '33', '1', 2000, 2000]
repeat 1 : ['整租·中国铁建环球中心 1室0厅 北', '南沙-南沙区府-中国铁建环球中心', '46', '1', 2500, 2500]
repeat 1 : ['整租·中国铁建环球中心 1室0厅 南', '南沙-南沙区府-中国铁建环球中心', '46', '1', 2500, 2500]
repeat 1 : ['整租·番禺万达广场 2室1厅 东南', '番禺-万博-番禺万达广场', '113', '2', 9000, 9000]
repeat 1 : ['整租·碧桂园星港国际 1室1厅 南', '花都-新区-碧桂园星港国际', '90', '1', 1300, 1300]
repeat 1 : ['整租·文德路 2室1厅 南', '越秀-北京路-文德路', '35', '2', 3000, 3000]
repeat 1 : ['整租·科慧花园 4室2厅 南', '增城-朱村-科慧花园', '118', '4', 3000, 3000]
repeat 1 : ['整租·汇金国际金融中心 1室0厅 东', '天河-金融城-汇金国际金融中心', '47', '1', 6000, 6000]
repeat 1 : ['整租·雅居乐雍华廷二期 3室2厅 南', '花都-新区-雅居乐雍华廷二期', '140', '3', 9550, 9550]
repeat 1 : ['整租·琴海居 1室1厅 东', '海珠-滨江东-琴海居', '52', '1', 4400, 4400]
repeat 1 : ['整租·东风西路 2室1厅 南/西南', '越秀-东风西-东风西路', '58', '2', 3600, 3600]
repeat 1 : ['整租·汇金国际金融中心 1室0厅 东', '天河-金融城-汇金国际金融中心', '42', '1', 5300, 5300]
repeat 1 : ['整租·越秀东坡 4室2厅 南', '南沙-进港大道-越秀东坡', '120', '4', 3000, 3000]
repeat 1 : ['整租·百兴苑 5室1厅 东', '越秀-流花站前-百兴苑', '134', '5', 4500, 4500]
repeat 1 : ['整租·科慧花园 4室2厅 东南', '增城-朱村-科慧花园', '118', '4', 3000, 3000]
repeat 1 : ['整租·现代城市花园 3室2厅 南', '增城-新塘北-现代城市花园', '125', '3', 3000, 3000]
repeat 1 : ['整租·先烈东路 3室1厅 东', '天河-沙河-先烈东路', '100', '3', 1800, 1800]
repeat 1 : ['整租·广州雅居乐花园时光九篇 3室2厅 东北', '番禺-雅居乐-广州雅居乐花园时光九篇', '106', '3', 4500, 4500]
repeat 1 : ['整租·广州敏捷绿湖首府 3室1厅 南', '增城-石滩镇-广州敏捷绿湖首府', '106', '3', 1020, 1020]
repeat 1 : ['整租·保利天悦花园 1室0厅 东', '海珠-万胜围-保利天悦花园', '13', '1', 1000, 1000]
repeat 1 : ['整租·科慧花园 4室2厅 南/北', '增城-朱村-科慧花园', '118', '4', 2000, 2000]
repeat 1 : ['整租·欧亚公馆 2室1厅 北', '增城-增城区府-欧亚公馆', '86', '2', 2000, 2000]
repeat 1 : ['整租·倚莲半岛花园 3室2厅 南', '番禺-莲花山-倚莲半岛花园', '145.89', '3', 3500, 3500]
repeat 1 : ['整租·嘉诚国际公寓 1室1厅 西', '越秀-水荫-嘉诚国际公寓', '51.99', '1', 4300, 4300]
repeat 1 : ['整租·敏捷华美国际 2室1厅 西', '番禺-大石-敏捷华美国际', '55', '2', 3300, 3300]
repeat 1 : ['整租·易通大厦 1室1厅 南', '天河-石牌-易通大厦', '40', '1', 4200, 4200]
repeat 1 : ['整租·万科幸福誉 1室1厅 南', '黄埔-知识城-万科幸福誉', '12', '1', 400, 400]
repeat 1 : ['整租·嘉华苑 1室1厅 北/东北', '白云-机场路-嘉华苑', '45', '1', 1500, 1500]
repeat 1 : ['整租·保利云禧西区 4室2厅 南', '白云-白云大道南-保利云禧西区', '262', '4', 32999, 32999]
repeat 1 : ['整租·环市东路 1室1厅 南', '越秀-环市东-环市东路', '30', '1', 1700, 1700]
repeat 1 : ['整租·悦时代花园心悦湾 2室2厅 南', '黄埔-文冲-悦时代花园心悦湾', '85', '2', 4100, 4100]
repeat 1 : ['整租·碧桂园凤凰城凤馨苑 3室2厅 南/北', '增城-凤凰城-碧桂园凤凰城凤馨苑', '101.06', '3', 2000, 2000]
repeat 1 : ['整租·时代风华 3室2厅 南/北', '增城-新塘北-时代风华', '118', '3', 3800, 3800]
repeat 1 : ['整租·祈福生活无限 2室2厅 复式 南/西', '花都-新区-祈福生活无限', '42', '2', 1900, 1900]
repeat 1 : ['整租·荔富湖畔 3室2厅 南/北', '增城-朱村-荔富湖畔', '99', '3', 1800, 1800]
repeat 1 : ['整租·象岗山 3室1厅 东南', '越秀-小北-象岗山', '77', '3', 4300, 4300]
repeat 1 : ['整租·赤岗路89号大院 2室2厅 北', '海珠-赤岗-赤岗路89号大院', '60', '2', 3000, 3000]
repeat 1 : ['整租·新世纪花园 2室2厅 东南', '番禺-桥南-新世纪花园', '88', '2', 3200, 3200]
repeat 1 : ['整租·君立国际公寓 1室1厅 南', '白云-同和-君立国际公寓', '40.6', '1', 2800, 2800]
repeat 1 : ['整租·琶洲新村 1室0厅 东', '海珠-万胜围-琶洲新村', '38.2', '1', 4000, 4000]
repeat 1 : ['整租·海景中心 5室2厅 北', '天河-员村-海景中心', '82', '5', 9800, 9800]
repeat 1 : ['整租·奥园广场 2室2厅 南', '番禺-桥南-奥园广场', '110', '2', 3500, 3500]
repeat 1 : ['整租·中国铁建环球中心 1室0厅 西', '南沙-南沙区府-中国铁建环球中心', '46', '1', 2500, 2500]
repeat 1 : ['整租·越秀国际总部广场 1室1厅 南', '南沙-金洲-越秀国际总部广场', '43', '1', 2300, 2300]
repeat 1 : ['整租·绿地国际空港中心 1室1厅 北', '花都-镜湖大道-绿地国际空港中心', '33', '1', 1700, 1700]
repeat 3 : ['整租·绿地国际空港中心 1室1厅 南', '花都-镜湖大道-绿地国际空港中心', '33', '1', 1700, 1700]
repeat 1 : ['整租·佳兆业城市广场 2室1厅 北', '黄埔-沙村-佳兆业城市广场', '75', '2', 3000, 3000]
repeat 1 : ['整租·珠光新城国际中心 1室1厅 西北', '天河-珠江新城东-珠光新城国际中心', '48', '1', 12000, 12000]
repeat 537 : ['整租·省机械研究所 2室2厅 东南', '天河-天润路-省机械研究所', '70', '2', 4300, 4300]
repeat 537 : ['整租·南国奥林匹克花园 3室2厅 错层 东南', '番禺-汉溪长隆-南国奥林匹克花园', '159', '3', 5500, 5500]
repeat 537 : ['整租·誉城苑 2室1厅 东', '天河-珠江新城东-誉城苑', '65', '2', 6500, 6500]
repeat 537 : ['整租·墩美小区 3室2厅 西', '黄埔-夏园-墩美小区', '79', '3', 2000, 2000]
repeat 537 : ['整租·环市中路 3室2厅 错层 东南', '越秀-小北-环市中路', '65', '3', 4500, 4500]
repeat 1 : ['合租·先烈中路81号大院 3居室 东南卧', '越秀-小北-环市中路', '65', '3', 1760, 1760]
repeat 3 : ['合租·南国奥林匹克花园 4居室 南卧', '越秀-小北-环市中路', '65', '3', 1690, 1690]
repeat 537 : ['整租·珠江新岸公寓 1室1厅 东/东南', '海珠-滨江东-珠江新岸公寓', '52', '1', 5500, 5500]
repeat 537 : ['整租·碧桂园玺悦 4室2厅 西南', '南沙-进港大道-碧桂园玺悦', '114', '4', 4300, 4300]
repeat 537 : ['整租·深航御花园 3室2厅 南', '花都-新区-深航御花园', '122', '3', 4500, 4500]
repeat 537 : ['整租·龙津西路 2室1厅 东', '荔湾-西关-龙津西路', '30', '2', 2000, 2000]
repeat 537 : ['整租·东凌广场 1室1厅 北', '增城-凤凰城-东凌广场', '43', '1', 1800, 1800]
repeat 2 : ['合租·龙光峰景华庭 4居室 北卧', '增城-凤凰城-东凌广场', '43', '1', 1560, 1560]
repeat 3 : ['合租·金田花苑 5居室 南卧', '增城-凤凰城-东凌广场', '43', '1', 2390, 2390]
repeat 537 : ['整租·翡翠绿洲森林半岛 3室2厅 东', '增城-凤凰城-翡翠绿洲森林半岛', '106', '3', 2100, 2100]
repeat 3 : ['合租·万科城市花园 4居室 北卧', '增城-凤凰城-翡翠绿洲森林半岛', '106', '3', 1530, 1530]
repeat 537 : ['整租·贤庄经适房 4室2厅 南', '白云-南湖-贤庄经适房', '144', '4', 6500, 6500]
repeat 536 : ['整租·中意花苑 6室1厅 东南', '白云-机场路-中意花苑', '199.74', '6', 5000, 5000]
repeat 3 : ['合租·南国奥林匹克花园 4居室 北卧', '白云-机场路-中意花苑', '199.74', '6', 1990, 1990]
repeat 2 : ['合租·荔港南湾 4居室 东卧', '白云-机场路-中意花苑', '199.74', '6', 1330, 1330]
repeat 2 : ['合租·丽景花苑 3居室 北卧', '白云-机场路-中意花苑', '199.74', '6', 1830, 1830]
