repeat 2 : ['整租·尚东君御雅苑 1室0厅 北', '天河-珠江新城中-尚东君御雅苑', '39.00', '1', 6200, 6200]
repeat 1 : ['整租·南国花园 3室2厅 东南/西', '天河-珠江新城东-南国花园', '108.00', '3', 10000, 10000]
repeat 1 : ['整租·双城国际 1室0厅 北', '天河-珠江新城西-双城国际', '34.00', '1', 4000, 4000]
repeat 1 : ['整租·富力盈丰大厦 1室0厅 北', '天河-珠江新城西-富力盈丰大厦', '51.00', '1', 5500, 5500]
repeat 1 : ['整租·汇金国际金融中心 1室0厅 西', '天河-金融城-汇金国际金融中心', '42.00', '1', 5800, 5800]
repeat 1 : ['整租·御华苑 3室2厅 南/北', '天河-龙口东-御华苑', '108.59', '3', 5700, 5700]
repeat 1 : ['整租·南国嘉园 3室2厅 西南', '天河-东圃-南国嘉园', '89.00', '3', 4420, 4420]
repeat 1 : ['整租·东圃广场 3室1厅 东/西', '天河-东圃-东圃广场', '77.00', '3', 3900, 3900]
repeat 1 : ['整租·天雅阁 2室2厅 南', '天河-天润路-天雅阁', '83.29', '2', 5000, 5000]
repeat 1 : ['整租·翠屏富通雅苑 2室2厅 北', '天河-东圃-翠屏富通雅苑', '70.77', '2', 4200, 4200]
repeat 1 : ['整租·利雅湾 3室2厅 北', '天河-珠江新城中-利雅湾', '125.00', '3', 13500, 13500]
repeat 1 : ['整租·华翰大厦 2室1厅 东南', '天河-体育中心-华翰大厦', '80.00', '2', 7800, 7800]
repeat 1 : ['整租·名门大厦 2室1厅 南', '天河-珠江新城西-名门大厦', '117.00', '2', 8000, 8000]
repeat 1 : ['整租·体育西路 1室0厅 南', '天河-天河南-体育西路', '25.00', '1', 2400, 2400]
repeat 2 : ['整租·金润大厦 1室0厅 南', '天河-天润路-金润大厦', '41.00', '1', 3300, 3300]
repeat 1 : ['整租·嘉裕君玥公馆 4室2厅 南', '天河-珠江新城西-嘉裕君玥公馆', '157.00', '4', 20000, 20000]
repeat 1 : ['整租·南国花园 3室2厅 北', '天河-珠江新城东-南国花园', '108.00', '3', 8500, 8500]
repeat 1 : ['整租·星汇云锦 3室2厅 西南', '天河-珠江新城西-星汇云锦', '193.00', '3', 20000, 20000]
repeat 74 : ['整租·富力天河华庭 4室2厅 北', '天河-林和-富力天河华庭', '165.00', '4', 18000, 18000]
repeat 1 : ['整租·六运小区 3室2厅 东', '天河-天河南-六运小区', '100.00', '3', 6000, 6000]
repeat 1 : ['整租·富景花苑 3室1厅 东南', '天河-天河南-富景花苑', '100.00', '3', 6300, 6300]
repeat 1 : ['整租·骏景花园 3室2厅 南/北', '天河-棠下-骏景花园', '110.00', '3', 5200, 5200]
repeat 1 : ['整租·富丽花苑 1室0厅 东南', '天河-天河南-富丽花苑', '28.00', '1', 2900, 2900]
repeat 1 : ['整租·富力盈力大厦 1室0厅 北', '天河-珠江新城西-富力盈力大厦', '46.00', '1', 4300, 4300]
repeat 1 : ['整租·保利心语花园 2室2厅 东', '天河-珠江新城中-保利心语花园', '80.00', '2', 7500, 7500]
repeat 1 : ['整租·中海康城 3室2厅 西南', '天河-黄村-中海康城', '111.00', '3', 5600, 5600]
repeat 1 : ['整租·天晟明苑 1室1厅 西南', '天河-石牌-天晟明苑', '53.00', '1', 4500, 4500]
repeat 1 : ['整租·壹号公馆 4室2厅 错层 东南', '天河-粤垦-壹号公馆', '181.00', '4', 8500, 8500]
repeat 1 : ['整租·南国嘉园 3室2厅 南', '天河-东圃-南国嘉园', '89.00', '3', 4800, 4800]
repeat 1 : ['整租·华翠街小区 3室1厅 北', '天河-天河公园-华翠街小区', '100.00', '3', 5600, 5600]
repeat 2 : ['整租·环宇花园 1室1厅 南', '天河-天河公园-环宇花园', '34.00', '1', 3100, 3100]
repeat 2 : ['整租·鸿燕居 3室2厅 南', '天河-燕塘-鸿燕居', '97.00', '3', 4700, 4700]
repeat 2 : ['整租·赛拉维 1室1厅 东', '天河-员村-赛拉维', '37.00', '1', 3800, 3800]
repeat 2 : ['整租·华景新城华景里 2室2厅 东', '天河-华景新城-华景新城华景里', '48.00', '2', 4800, 4800]
repeat 1 : ['整租·历德雅舍 1室2厅 西南', '天河-华景新城-历德雅舍', '56.00', '1', 5000, 5000]
repeat 1 : ['整租·农垦总局 3室2厅 南', '天河-粤垦-农垦总局', '92.00', '3', 4500, 4500]
repeat 1 : ['整租·天銮 4室2厅 东南/南', '天河-珠江新城中-天銮', '213.00', '4', 55000, 55000]
repeat 1 : ['整租·陂东路13号 1室0厅 南', '天河-东圃-陂东路13号', '25.00', '1', 1300, 1300]
repeat 1 : ['整租·陂东路13号 1室0厅 南', '天河-东圃-陂东路13号', '28.00', '1', 1300, 1300]
repeat 1 : ['整租·富力天寓 1室1厅 南', '天河-车陂-富力天寓', '30.00', '1', 2300, 2300]
repeat 2 : ['整租·力达广场 1室1厅 南', '天河-粤垦-力达广场', '50.00', '1', 6500, 6500]
repeat 6 : ['整租·丽晴轩 1室0厅 西北', '天河-粤垦-丽晴轩', '45.00', '1', 4500, 4500]
repeat 1 : ['整租·丽晴轩 1室1厅 东南', '天河-粤垦-丽晴轩', '52.00', '1', 4800, 4800]
repeat 1 : ['整租·力迅领筑 1室0厅 南', '天河-天河公园-力迅领筑', '49.88', '1', 4200, 4200]
repeat 1 : ['整租·丽晴轩 1室0厅 西北', '天河-粤垦-丽晴轩', '45.00', '1', 5000, 5000]
repeat 1 : ['整租·富力盈盛广场 2室1厅 东', '天河-珠江新城东-富力盈盛广场', '98.00', '2', 12000, 12000]
repeat 1 : ['整租·豪景花园 1室1厅 东南', '天河-沙河-豪景花园', '52.00', '1', 2900, 2900]
repeat 1 : ['整租·泰然居 3室2厅 南', '天河-天河公园-泰然居', '92.00', '3', 5900, 5900]
repeat 1 : ['整租·富力盈丰大厦 1室0厅 东', '天河-珠江新城西-富力盈丰大厦', '12.00', '1', 1000, 1000]
repeat 1 : ['整租·中达广场 1室1厅 南', '天河-珠江新城中-中达广场', '64.00', '1', 11000, 11000]
repeat 2 : ['整租·跑马地大厦 1室1厅 北', '天河-珠江新城东-跑马地大厦', '76.60', '1', 8000, 8000]
repeat 3 : ['整租·东荣文华轩 1室0厅 南', '天河-长兴-东荣文华轩', '12.00', '1', 900, 900]
