repeat 3 : ['整租·凤凰印象 1室1厅 西南', '罗湖区-螺岭-凤凰印象', '43.72', '1', 3900, 3900]
repeat 1 : ['整租·华丽花园 3室2厅 东南', '罗湖区-螺岭-华丽花园', '88.50', '3', 5000, 5000]
repeat 2 : ['整租·红群楼 2室1厅 南', '罗湖区-地王-红群楼', '72.00', '2', 4600, 4600]
repeat 1 : ['整租·深发花园 3室2厅 南', '罗湖区-黄贝岭-深发花园', '83.00', '3', 6200, 6200]
repeat 21 : ['合租·西湖小区 6居室 南卧', '罗湖区-地王-西湖小区', '22.00', '6', 2200, 2200]
repeat 1 : ['整租·靖轩豪苑 2室1厅 东', '罗湖区-黄贝岭-靖轩豪苑', '70.00', '2', 6900, 6900]
repeat 1 : ['独栋·冠寓 深圳上水径二店 首月8折 押一付一 1室1厅', nan, '20.00-27.00', '1', 1699, 2199]
repeat 1 : ['整租·世界金融中心 2室1厅 东/西', '罗湖区-万象城-世界金融中心', '51.00', '2', 6500, 6500]
repeat 1 : ['整租·万科深南广场 1室1厅 南', '罗湖区-春风路-万科深南广场', '45.00', '1', 4500, 4500]
repeat 2 : ['整租·东方凤雅台 3室2厅 南', '罗湖区-莲塘-东方凤雅台', '126.00', '3', 7000, 7000]
repeat 1 : ['整租·深业东岭一期 1室0厅 东', '罗湖区-黄贝岭-深业东岭一期', '39.00', '1', 3600, 3600]
repeat 3 : ['整租·海珑华苑 1室0厅 北', '罗湖区-螺岭-海珑华苑', '44.80', '1', 3000, 3000]
repeat 3 : ['整租·TCL雅馨居 1室0厅 南', '罗湖区-地王-TCL雅馨居', '40.00', '1', 4380, 4380]
repeat 23 : ['整租·航天晴山月 3室2厅 南', '罗湖区-莲塘-航天晴山月', '127.64', '3', 9500, 9500]
repeat 1 : ['整租·东门168 1室1厅 东南', '罗湖区-螺岭-东门168', '42.45', '1', 3200, 3200]
repeat 1 : ['整租·凤凰印象 1室1厅 南', '罗湖区-螺岭-凤凰印象', '45.00', '1', 4300, 4300]
repeat 1 : ['整租·荣华里 3室2厅 南', '罗湖区-地王-荣华里', '95.00', '3', 6000, 6000]
repeat 1 : ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '101.55', '3', 6500, 6500]
repeat 1 : ['整租·旭飞华达园 2室1厅 西', '罗湖区-百仕达-旭飞华达园', '56.98', '2', 5500, 5500]
