[0, 1268] ['整租·察慈小区 1室1厅 南', '东城-东直门-察慈小区', 49.33, '1', 7000, 7000]
[0, 1322] ['整租·察慈小区 1室1厅 南', '东城-东直门-察慈小区', 49.33, '1', 7000, 7000]
[1, 1222] ['整租·豆瓣胡同 2室1厅 东/西', '东城-朝阳门内-豆瓣胡同', 71.49, '2', 10000, 10000]
[1, 1274] ['整租·豆瓣胡同 2室1厅 东/西', '东城-朝阳门内-豆瓣胡同', 71.49, '2', 10000, 10000]
[2, 988] ['整租·广渠家园 2室1厅 北', '东城-广渠门-广渠家园', 63.0, '2', 5200, 5200]
[2, 1156] ['整租·广渠家园 2室1厅 北', '东城-广渠门-广渠家园', 63.0, '2', 5200, 5200]
[5, 1217] ['整租·工体3号 1室0厅 南', '东城-工体-工体3号', 35.94, '1', 5800, 5800]
[6, 1456] ['整租·胡家园小区 1室1厅 南', '东城-东直门-胡家园小区', 42.66, '1', 6000, 6000]
[8, 1382] ['整租·新永外文化用品商城 2室1厅 南', '东城-永定门-新永外文化用品商城', 75.0, '2', 8100, 8100]
[8, 1449] ['整租·新永外文化用品商城 2室1厅 南', '东城-永定门-新永外文化用品商城', 75.0, '2', 8100, 8100]
[10, 1216] ['整租·西青年沟 1室1厅 南', '东城-安贞-西青年沟', 42.16, '1', 6800, 6800]
[13, 315] ['整租·民安小区东扬威街 2室1厅 南/北', '东城-东直门-民安小区东扬威街', 74.23, '2', 9700, 9700]
[13, 616] ['整租·民安小区东扬威街 2室1厅 南/北', '东城-东直门-民安小区东扬威街', 74.23, '2', 9700, 9700]
[14, 1278] ['整租·朝阳门南小街 2室1厅 南/北', '东城-朝阳门内-朝阳门南小街', 70.0, '2', 9500, 9500]
[14, 1317] ['整租·朝阳门南小街 2室1厅 南/北', '东城-朝阳门内-朝阳门南小街', 70.0, '2', 9500, 9500]
[15, 1305] ['整租·新景家园东区 1室1厅 南', '东城-崇文门-新景家园东区', 61.0, '1', 7800, 7800]
[15, 1341] ['整租·新景家园东区 1室1厅 南', '东城-崇文门-新景家园东区', 61.0, '1', 7800, 7800]
[16, 1443] ['整租·和平里三区 1室1厅 南/北', '东城-和平里-和平里三区', 45.0, '1', 5300, 5300]
[16, 1663] ['整租·和平里三区 1室1厅 南/北', '东城-和平里-和平里三区', 45.0, '1', 5300, 5300]
[17, 376] ['整租·东四六条 3室0厅 东', '东城-东四-东四六条', 17.6, '3', 5000, 5000]
[17, 1172] ['整租·东四六条 3室0厅 东', '东城-东四-东四六条', 17.6, '3', 5000, 5000]
[20, 1068] ['整租·大兴胡同 1室0厅 东', '东城-交道口-大兴胡同', 20.0, '1', 3500, 3500]
[23, 248] ['整租·西革新里124号 2室1厅 南', '东城-永定门-西革新里124号', 50.84, '2', 5500, 5500]
[23, 287] ['整租·西革新里124号 2室1厅 南', '东城-永定门-西革新里124号', 50.84, '2', 5500, 5500]
[25, 1212] ['整租·左安漪园 3室2厅 东/北', '东城-左安门-左安漪园', 139.0, '3', 15500, 15500]
[25, 1263] ['整租·左安漪园 3室2厅 东/北', '东城-左安门-左安漪园', 139.0, '3', 15500, 15500]
[26, 34] ['整租·华人一品大厦 1房间 北', '东城-东四-华人一品大厦', 28.0, '1', 6000, 6000]
[26, 659] ['整租·华人一品大厦 1房间 北', '东城-东四-华人一品大厦', 28.0, '1', 6000, 6000]
[26, 814] ['整租·华人一品大厦 1房间 北', '东城-东四-华人一品大厦', 28.0, '1', 6000, 6000]
[27, 34] ['整租·大方家胡同 2室0厅 东/西', '东城-朝阳门内-大方家胡同', 52.0, '2', 7500, 7500]
[27, 492] ['整租·大方家胡同 2室0厅 东/西', '东城-朝阳门内-大方家胡同', 52.0, '2', 7500, 7500]
