repeat 2 : ['整租·察慈小区 1室1厅 南', '东城-东直门-察慈小区', 49.33, '1', 7000, 7000]
repeat 2 : ['整租·豆瓣胡同 2室1厅 东/西', '东城-朝阳门内-豆瓣胡同', 71.49, '2', 10000, 10000]
repeat 2 : ['整租·广渠家园 2室1厅 北', '东城-广渠门-广渠家园', 63.0, '2', 5200, 5200]
repeat 1 : ['整租·工体3号 1室0厅 南', '东城-工体-工体3号', 35.94, '1', 5800, 5800]
repeat 1 : ['整租·胡家园小区 1室1厅 南', '东城-东直门-胡家园小区', 42.66, '1', 6000, 6000]
repeat 2 : ['整租·新永外文化用品商城 2室1厅 南', '东城-永定门-新永外文化用品商城', 75.0, '2', 8100, 8100]
repeat 1 : ['整租·西青年沟 1室1厅 南', '东城-安贞-西青年沟', 42.16, '1', 6800, 6800]
repeat 2 : ['整租·民安小区东扬威街 2室1厅 南/北', '东城-东直门-民安小区东扬威街', 74.23, '2', 9700, 9700]
repeat 2 : ['整租·朝阳门南小街 2室1厅 南/北', '东城-朝阳门内-朝阳门南小街', 70.0, '2', 9500, 9500]
repeat 2 : ['整租·新景家园东区 1室1厅 南', '东城-崇文门-新景家园东区', 61.0, '1', 7800, 7800]
repeat 2 : ['整租·和平里三区 1室1厅 南/北', '东城-和平里-和平里三区', 45.0, '1', 5300, 5300]
repeat 2 : ['整租·东四六条 3室0厅 东', '东城-东四-东四六条', 17.6, '3', 5000, 5000]
repeat 1 : ['整租·大兴胡同 1室0厅 东', '东城-交道口-大兴胡同', 20.0, '1', 3500, 3500]
repeat 2 : ['整租·西革新里124号 2室1厅 南', '东城-永定门-西革新里124号', 50.84, '2', 5500, 5500]
repeat 2 : ['整租·左安漪园 3室2厅 东/北', '东城-左安门-左安漪园', 139.0, '3', 15500, 15500]
repeat 3 : ['整租·华人一品大厦 1房间 北', '东城-东四-华人一品大厦', 28.0, '1', 6000, 6000]
repeat 2 : ['整租·大方家胡同 2室0厅 东/西', '东城-朝阳门内-大方家胡同', 52.0, '2', 7500, 7500]
repeat 2 : ['整租·左安浦园 3室1厅 西', '东城-左安门-左安浦园', 75.0, '3', 6500, 6500]
repeat 2 : ['整租·前门前酒店公寓 1房间 东北', '东城-天坛-前门前酒店公寓', 50.11, '1', 5000, 5000]
repeat 1 : ['整租·体育馆路12号 1室1厅 南', '东城-左安门-体育馆路12号', 44.0, '1', 5600, 5600]
repeat 1 : ['整租·东直门内大街 2室1厅 西南', '东城-东直门-东直门内大街', 71.62, '2', 3700, 3700]
repeat 1 : ['整租·北京INN 2房间 复式 北', '东城-朝阳门内-北京INN', 122.0, '2', 8600, 8600]
repeat 3 : ['整租·李村东里 1室1厅 西', '东城-永定门-李村东里', 43.0, '1', 5000, 5000]
repeat 1 : ['整租·正东国际大厦 3室1厅 东南', '东城-东直门-正东国际大厦', 312.0, '3', 30000, 30000]
repeat 1 : ['整租·宝钞苑 3室2厅 东/西', '东城-安定门-宝钞苑', 196.8, '3', 23500, 23500]
repeat 1 : ['整租·华人一品大厦 2房间 南', '东城-东四-华人一品大厦', 41.0, '2', 5500, 5500]
repeat 2 : ['整租·冠城名敦道B区 2室1厅 东/南/北', '东城-广渠门-冠城名敦道B区', 129.41, '2', 15000, 15000]
repeat 2 : ['整租·盛德紫阙 1室1厅 东/北', '东城-和平里-盛德紫阙', 86.8, '1', 12400, 12400]
repeat 2 : ['整租·幸福北里 2室1厅 东', '东城-广渠门-幸福北里', 50.76, '2', 6400, 6400]
repeat 1 : ['整租·建国门北大街5号 3室1厅 南', '东城-建国门内-建国门北大街5号', 300.0, '3', 45000, 45000]
repeat 1 : ['整租·民安小区东直门北中街 2室1厅 东/西', '东城-东直门-民安小区东直门北中街', 78.01, '2', 9200, 9200]
repeat 1 : ['整租·东花市北里中区 2室1厅 东/西', '东城-东花市-东花市北里中区', 67.13, '2', 7000, 7000]
repeat 1 : ['整租·桃条胡同 1室0厅 东', '东城-交道口-桃条胡同', 24.47, '1', 6000, 6000]
repeat 1 : ['整租·华人一品大厦 2房间 北', '东城-东四-华人一品大厦', 56.0, '2', 5600, 5600]
repeat 1 : ['整租·和平里五区 2室1厅 南/北', '东城-和平里-和平里五区', 55.12, '2', 6000, 6000]
repeat 1 : ['整租·东直门外大街(东城） 1室1厅 南', '东城-东直门-东直门外大街(东城）', 38.38, '1', 6300, 6300]
repeat 1 : ['整租·东黄城根北街40号院 1室1厅 东/西', '东城-东四-东黄城根北街40号院', 38.0, '1', 7000, 7000]
repeat 1 : ['整租·东中街 2室1厅 南/北', '东城-东直门-东中街', 62.39, '2', 8300, 8300]
repeat 2 : ['整租·东花市北里西区 2室1厅 南/北', '东城-东花市-东花市北里西区', 132.0, '2', 13000, 13000]
repeat 1 : ['整租·小羊宜宾胡同 2室1厅 南', '东城-建国门内-小羊宜宾胡同', 55.0, '2', 7600, 7600]
repeat 1 : ['整租·青年湖东里 2室1厅 南/北', '东城-安定门-青年湖东里', 60.78, '2', 6500, 6500]
repeat 1 : ['整租·东直门外小街8号院 1室1厅 东/西', '东城-东直门-东直门外小街8号院', 52.0, '1', 5800, 5800]
